Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID7570,7570,5,513.142,2.365,2.574,0,0,0,0.052,1,-10921639,47876.804,47571,38383,57342,4644050,3748.298,0.093,0.024,0.587
ID9258,9258,5,581.484,2.368,2.576,0,1,1,0.052,1,-10921639,50072.722,50095,41357,61403,4857054,4250.15,0.198,0.027,0.611
ID2501,2501,5,704.596,2.362,2.567,0,2,2,0.052,1,-10921639,52419.258,53119,40043,61082,5084668,4343.343,0.187,0.04,0.934
ID10940,10940,5,602.723,2.359,2.547,0,3,3,0.052,1,-10921639,52280.216,52758,42267,61467,5071181,4122.512,0.198,0.032,0.792
ID4163,4163,5,527.584,2.362,2.543,0,4,4,0.052,1,-10921639,50519.103,50732,42237,58365,4900353,3670.472,0.082,0.03,0.801
ID5861,5861,5,278.406,2.343,2.529,0,5,5,0.052,1,-10921639,45169.041,44919,37320,52995,4381397,3356.667,0.149,0.015,0.402
ID14340,14340,5,271.661,2.337,2.51,0,6,6,0.052,1,-10921639,40111.124,40170,31419,48778,3890779,3462.026,0.198,0.017,0.376
ID12617,12617,5,372.924,2.314,2.502,0,7,7,0.052,1,-10921639,34295.031,34038,27544,44663,3326618,3111.753,0.198,0.027,0.574
ID16031,16031,5,427.944,2.307,2.494,0,8,8,0.052,1,-10921639,28590.113,28338,20504,38714,2773241,3560.494,0.052,0.031,0.486
ID17749,17749,5,534.995,2.302,2.483,0,9,9,0.052,1,-10921639,24322.021,24186,16514,34304,2359236,3867.687,0.029,0.047,0.561
ID22976,22976,5,417.954,2.305,2.477,0,10,10,0.052,1,-10921639,19762.381,19288,13096,28190,1916951,2858.176,0.198,0.051,0.67
ID21224,21224,5,155.301,2.298,2.482,0,11,11,0.052,1,-10921639,15457.784,15447,10773,20928,1499405,2259.253,0.198,0.021,0.278
ID24682,24682,5,80.737,2.294,2.465,0,12,12,0.052,1,-10921639,13000.928,12749,9878,17786,1261090,1711.792,0.176,0.018,0.267
ID19515,19515,5,91.336,2.276,2.458,0,13,13,0.052,1,-10921639,11385.619,11450,7044,15420,1104405,1851.885,0.126,0.011,0.138
ID29924,29924,5,70.722,2.273,2.467,0,14,14,0.052,1,-10921639,10656.505,10658,7120,15427,1033681,1786.917,0.198,0.003,0.04
ID28162,28162,5,141.13,2.26,2.46,0,15,15,0.052,1,-10921639,11170.402,11081,6516,14752,1083529,1626.776,0.191,0.02,0.274
ID26437,26437,5,178.253,2.253,2.471,0,16,16,0.052,1,-10921639,11841.928,11593,7443,16760,1148667,2082.416,0.13,0.028,0.306
ID35146,35146,5,232.678,2.252,2.452,0,17,17,0.052,1,-10921639,13819.485,13405,8960,21188,1340490,2535.168,0.051,0.021,0.229
ID33378,33378,5,270.329,2.252,2.429,0,18,18,0.052,1,-10921639,17456.134,17374,11544,26001,1693245,2913.394,0.122,0.043,0.49
ID36856,36856,5,307.1,2.25,2.426,0,19,19,0.052,1,-10921639,21287.567,21381,14954,29970,2064894,3103.534,0.053,0.03,0.397
ID31655,31655,5,462.144,2.266,2.364,0,20,20,0.052,1,-10921639,27195.979,27276,18658,35964,2638010,3277.948,0.083,0.045,0.715
ID38544,38544,5,554.948,2.262,2.373,0,21,21,0.052,1,-10921639,32132.598,32879,21626,41721,3116862,4564.217,0.176,0.044,0.599
ID41978,41978,5,699.607,2.265,2.358,0,22,22,0.052,1,-10921639,37076.629,36756,24698,47093,3596433,5210.068,0.061,0.049,0.67
ID40260,40260,5,581.06,2.271,2.361,0,23,23,0.052,1,-10921639,41048.155,41512,30144,53437,3981671,4742.055,0.093,0.037,0.612
ID43703,43703,5,538.399,2.262,2.373,0,24,24,0.052,1,-10921639,43332.969,43645,30800,57354,4203298,4452.832,0.104,0.028,0.533
ID50472,50472,5,611.836,2.258,2.361,0,25,25,0.052,1,-10921639,46650.412,46239,35585,61451,4525090,4585.69,0.082,0.032,0.638
ID45398,45398,5,527.782,2.254,2.371,0,26,26,0.052,1,-10921639,47978.392,47487,38463,58815,4653904,3978.745,0.094,0.033,0.777
ID48761,48761,5,454.046,2.249,2.367,0,27,27,0.052,1,-10921639,47772.392,48117,36986,57139,4633922,4216.454,0.177,0.029,0.638
ID47077,47077,5,599.087,2.253,2.39,0,28,28,0.052,1,-10921639,47330.598,47422,37315,57937,4591068,4184.357,0.154,0.033,0.721
ID52155,52155,5,586.622,2.268,2.392,0,29,29,0.052,1,-10921639,45052.052,44991,32311,53307,4370049,4374.492,0.187,0.033,0.653
ID53852,53852,5,471.85,2.275,2.394,0,30,30,0.052,1,-10921639,40124.113,39909,33191,48745,3892039,3619.165,0.186,0.036,0.779
ID55572,55572,5,465.894,2.268,2.388,0,31,31,0.052,1,-10921639,34077.01,33455,27055,42820,3305470,3797.188,0.198,0.025,0.438
ID58379,58379,5,492.351,2.264,2.382,0,32,32,0.052,1,-10921639,29197.278,29309,19749,38044,2832136,3955.473,0.198,0.038,0.535
ID57679,57679,5,467.093,2.262,2.377,0,33,33,0.052,1,-10921639,23735.701,23756,15582,30993,2302363,3513.578,0.057,0.039,0.51
ID62441,62441,5,371.306,2.268,2.375,0,34,34,0.052,1,-10921639,19424.103,19189,13800,27933,1884138,2963.401,0.198,0.043,0.537
ID60674,60674,5,312.849,2.261,2.371,0,35,35,0.052,1,-10921639,15545.825,15560,9770,21922,1507945,2613.076,0.186,0.041,0.463
ID65857,65857,5,180.594,2.241,2.35,0,36,36,0.052,1,-10921639,13371.412,13319,7899,19824,1297027,2219.403,0.187,0.017,0.204
ID64135,64135,5,70.808,2.251,2.355,0,37,37,0.052,1,-10921639,11564.32,11604,7114,17360,1121739,1944.846,0.183,-0.003,-0.037
ID84781,84781,5,516.971,2.295,2.366,0,47,47,0.052,1,-10921639,41342.237,41001,32682,51892,4010197,4056.849,0.091,0.04,0.785
ID83115,83115,5,644.462,2.272,2.364,0,48,48,0.052,1,-10921639,46571.206,46294,37569,55815,4517407,3673.821,0.198,0.038,0.92
ID91450,91450,5,608.202,2.273,2.362,0,49,49,0.052,1,-10921639,50291.66,50385,40362,62386,4878291,4094.946,0.166,0.032,0.756
ID88120,88120,5,579.048,2.267,2.358,0,50,50,0.052,1,-10921639,52787.227,52435,43112,62891,5120361,4140.129,0.138,0.029,0.716
ID86446,86446,5,656.663,2.256,2.348,0,51,51,0.052,1,-10921639,53125.557,52863,43800,61762,5153179,4129.872,0.198,0.03,0.746
ID89787,89787,5,495.644,2.262,2.343,0,52,52,0.052,1,-10921639,52153.381,52261,44208,64575,5058878,3958.7,0.198,0.028,0.716
ID98203,98203,5,690.464,2.257,2.338,0,53,53,0.052,1,-10921639,50514.608,50281,39037,60846,4899917,4681.222,0.198,0.03,0.634
ID93080,93080,5,223.807,2.322,2.263,0,55,55,0.052,1,-10921639,35375.206,35235,27186,47007,3431395,3776.303,0.183,0.005,0.096
ID94777,94777,5,192.675,2.323,2.255,0,56,56,0.052,1,-10921639,29555.536,29837,21402,39356,2866887,3385.884,0.185,0.007,0.128
